LAD_name,Investment_Potential_Score,Top1_Feature,Top1_Dir,Top1_SignedSHAP,Top2_Feature,Top2_Dir,Top2_SignedSHAP,Top3_Feature,Top3_Dir,Top3_SignedSHAP
Haringey,9.26101447790223,%=CQC RequiresImprovement,↓,-6.144220525777534,House=Price Growth %,↓,-4.04925380151303,%=CQC Good,↓,-1.8971810941137492
Harlow,8.083378895415562,%=CQC RequiresImprovement,↑,5.693679245271963,House=Price Growth %,↓,-1.6051543769874776,Percent=65plus,↓,-0.6473243753706449
Harrow,14.502175405273343,%=CQC RequiresImprovement,↓,-8.91850209992564,House=Price Growth %,↑,3.00052591093038,%=CQC Good,↓,-1.6225295584958337
Hart,11.807889075377036,%=CQC Outstanding,↓,-0.4571228695384056,%=CQC Good,↑,0.4400965183227213,%=CQC RequiresImprovement,↓,-0.4223330411792089
Hartlepool,12.689017873642005,%=CQC RequiresImprovement,↓,-7.375700717971752,House=Price Growth %,↑,3.337312038910055,%=CQC Good,↓,-1.479951775924249
Hastings,16.00606179646363,House=Price Growth %,↑,4.372217187867824,%=CQC RequiresImprovement,↑,4.029245248732424,%=CQC Good,↓,-1.1232182200797047
Havant,14.531002033185604,%=CQC RequiresImprovement,↑,7.1245304152465945,House=Price Growth %,↑,2.2141769587591247,Percent=65plus,↑,0.6572724224352173
Havering,13.100705832290975,%=CQC RequiresImprovement,↓,-4.49893092229601,%=CQC Good,↓,-1.151413096760047,House=Price Growth %,↑,0.3372494280064932
Hertsmere,11.949999736447236,House=Price Growth %,↓,-2.197614966750894,GDHI=per head 2022,↑,0.3406584882235806,%=CQC Good,↓,-0.2197336830642937
High Peak,16.56783945082474,%=CQC RequiresImprovement,↑,11.797726078874852,%=CQC Good,↑,5.431225038754058,House=Price Growth %,↑,3.872899257063028
Hillingdon,8.242466321198826,%=CQC RequiresImprovement,↓,-6.928149436425568,House=Price Growth %,↓,-3.2564648932129474,%=CQC Good,↓,-1.859710174081956
Hinckley And Bosworth,,House=Price Growth %,↓,-4.483633447034582,%=CQC RequiresImprovement,↓,-3.212369328514635,%=CQC Good,↓,-1.11676885583798
Horsham,13.236390795970536,%=CQC RequiresImprovement,↓,-5.263847147493922,%=CQC Inadequate,↑,0.9594031183371704,House=Price Growth %,↑,0.9189307477785054
Hounslow,6.282085066908107,%=CQC RequiresImprovement,↑,5.115526498459275,House=Price Growth %,↓,-4.977786535272453,%=CQC Good,↑,2.6853895181238903
Huntingdonshire,11.527396983229808,%=CQC RequiresImprovement,↓,-2.531238466135884,House=Price Growth %,↓,-0.7427333224777404,%=CQC Good,↓,-0.4715303121956057
Hyndburn,14.478854556083997,%=CQC RequiresImprovement,↑,4.24735173202635,House=Price Growth %,↑,2.442646037953144,%=CQC Inadequate,↑,0.4173809490073737
Ipswich,7.691142270116146,%=CQC RequiresImprovement,↓,-5.002051021011289,House=Price Growth %,↓,-1.920052817577983,%=CQC Inadequate,↑,1.1764833103429533
Isle Of Wight,,%=CQC RequiresImprovement,↓,-7.967974324413253,House=Price Growth %,↑,4.202167991561061,%=CQC Good,↓,-1.3605529362490123
Isles Of Scilly,,%=CQC RequiresImprovement,↑,25.919634171952765,%=CQC Good,↑,13.426646219877073,House=Price Growth %,↑,4.136890643569278
Islington,3.877089645870474,House=Price Growth %,↓,-13.396184271438509,%=CQC RequiresImprovement,↓,-9.894056804850823,%=CQC Good,↓,-2.21357183813588
Kensington And Chelsea,,%=CQC RequiresImprovement,↓,-7.209694349475425,House=Price Growth %,↑,0.976895892472321,Percent=65plus,↓,-0.5961328261025384
King S Lynn And West Norfolk,,%=CQC RequiresImprovement,↑,7.701761892471049,House=Price Growth %,↓,-2.2420769196986456,%=CQC Good,↑,2.0467603211184384
Kingston Upon Hull City Of,,%=CQC RequiresImprovement,↑,5.668344171170983,House=Price Growth %,↓,-2.7040183587046065,%=CQC Good,↓,-0.8062556960209527
Kingston Upon Thames,,%=CQC RequiresImprovement,↓,-7.025312577008304,House=Price Growth %,↓,-3.0456600861859697,%=CQC Good,↓,-1.35970245211089
Kirklees,9.786156388857837,%=CQC RequiresImprovement,↑,3.2318785160972774,House=Price Growth %,↓,-2.430810849631087,%=CQC Good,↓,-0.944694863035588
Knowsley,20.46357970085901,House=Price Growth %,↑,7.297731117290828,%=CQC RequiresImprovement,↓,-2.788591141173927,%=CQC Good,↓,-0.7291320268634182
Lambeth,4.686632409537936,House=Price Growth %,↓,-5.776779695426894,%=CQC RequiresImprovement,↑,3.899695025532539,Percent=65plus,↓,-1.1977235722280473
Lancaster,14.2231819342745,House=Price Growth %,↑,4.05564977873285,%=CQC RequiresImprovement,↓,-1.0010573153164684,%=CQC Good,↓,-0.377280669400475
Leeds,11.491111857484148,%=CQC RequiresImprovement,↑,4.355178830996746,House=Price Growth %,↓,-1.6073214188097236,%=CQC Good,↓,-0.6957595666530723
Leicester,10.023308760367982,%=CQC RequiresImprovement,↑,4.055265216017563,Percent=65plus,↓,-1.2322311062112528,House=Price Growth %,↓,-1.199094568890832
Lewes,16.99497212707368,%=CQC RequiresImprovement,↑,4.357025506161976,House=Price Growth %,↑,2.4507230768628143,%=CQC Good,↓,-0.9471993646805656
Lewisham,9.511949857752686,%=CQC RequiresImprovement,↓,-6.215794010408437,%=CQC Good,↓,-1.654230263565977,House=Price Growth %,↓,-1.6327529627318798
Lichfield,6.716487179785775,%=CQC RequiresImprovement,↑,6.80101638797534,House=Price Growth %,↓,-4.794742549358387,Percent=65plus,↑,0.5772186426779966
Lincoln,11.535317566819906,%=CQC RequiresImprovement,↑,8.54804526659515,House=Price Growth %,↑,3.9458281316957793,%=CQC Good,↑,1.6018373658192793
Liverpool,10.380875070030028,%=CQC RequiresImprovement,↑,7.327328180941524,%=CQC Good,↑,1.8027866961675485,House=Price Growth %,↑,1.172203116703434
Luton,10.504069630556328,%=CQC RequiresImprovement,↑,9.683687280580733,%=CQC Good,↑,2.097491860265182,House=Price Growth %,↑,1.6977075551051797
Maidstone,4.905533477695972,%=CQC RequiresImprovement,↓,-6.1223654970274,House=Price Growth %,↓,-3.744738271232088,%=CQC Inadequate,↑,0.8771033201778
Maldon,15.359364775802383,House=Price Growth %,↑,3.982266444560628,%=CQC RequiresImprovement,↓,-2.32691137597956,%=CQC Inadequate,↑,1.183577282322719
Malvern Hills,18.42934251672689,%=CQC RequiresImprovement,↑,6.408935153545952,House=Price Growth %,↑,3.1139096144410976,Percent=65plus,↑,0.814646293159954
Manchester,9.69688311179208,%=CQC RequiresImprovement,↑,3.1771487887044065,Percent=65plus,↓,-1.1187683458416051,%=CQC Good,↓,-0.751625246704399
Mansfield,13.289454739988106,%=CQC RequiresImprovement,↓,-7.405427502645629,House=Price Growth %,↑,2.1779168989216435,%=CQC Outstanding,↓,-0.8022907865832094
Medway,8.175947136546753,%=CQC RequiresImprovement,↑,5.185235100827118,House=Price Growth %,↓,-3.4348140089098265,%=CQC Good,↑,2.2599439770566754
Melton,4.60917552713742,%=CQC RequiresImprovement,↑,6.984292567462235,House=Price Growth %,↓,-5.1031681655443935,%=CQC Good,↑,3.630079102203379
Merton,11.911495593515824,%=CQC RequiresImprovement,↓,-8.352016832366937,House=Price Growth %,↑,2.9365566836633854,%=CQC Good,↓,-1.613088286469594
Mid Devon,14.581833535591237,House=Price Growth %,↑,3.2436043252968743,Percent=65plus,↑,0.5825072383194305,%=CQC Outstanding,↓,-0.541836117407581
Mid Suffolk,17.750571409638066,%=CQC RequiresImprovement,↑,5.303341715506492,House=Price Growth %,↑,3.6224088537154215,%=CQC Good,↑,2.1335047554894477
Mid Sussex,14.978460226037356,%=CQC RequiresImprovement,↓,-5.810447219174043,House=Price Growth %,↑,2.6611147190061684,%=CQC Inadequate,↑,0.4773028753800304
Middlesbrough,6.0728452203737655,%=CQC RequiresImprovement,↓,-4.294546873085889,House=Price Growth %,↓,-3.4521934253401545,Percent=65plus,↓,-0.4321270988316856
Milton Keynes,10.853312724630133,%=CQC RequiresImprovement,↓,-4.458901818873005,House=Price Growth %,↑,2.7222112836734342,Percent=65plus,↓,-0.8256981388913062
Mole Valley,15.109352672289775,%=CQC RequiresImprovement,↑,3.822192889683613,Percent=65plus,↑,0.8777398926224733,House=Price Growth %,↓,-0.7849507261287733
New Forest,16.329585311356496,%=CQC RequiresImprovement,↓,-2.751147492575714,House=Price Growth %,↑,2.1955933043871605,Percent=65plus,↑,0.9156744035081203
Newark And Sherwood,,House=Price Growth %,↑,4.272337834179514,%=CQC RequiresImprovement,↓,-2.436628287389482,Percent=65plus,↑,0.5284976379729664
Newcastle Under Lyme,,%=CQC RequiresImprovement,↑,3.147676701073541,House=Price Growth %,↑,2.9815283894859537,%=CQC Good,↓,-1.2938441309410724
Newcastle Upon Tyne,,House=Price Growth %,↓,-4.95763863543994,%=CQC RequiresImprovement,↓,-0.5232877619550418,Percent=65plus,↓,-0.5079718839336719
Newham,-5.697709517629295,House=Price Growth %,↓,-16.169406398455802,%=CQC RequiresImprovement,↓,-9.91076538745913,Percent=65plus,↓,-2.1977380283980223
North Devon,18.50084517340217,House=Price Growth %,↑,4.506066030064496,%=CQC RequiresImprovement,↑,3.333828745788098,Percent=65plus,↑,0.7038206941958802
North East Derbyshire,13.207608468495373,%=CQC RequiresImprovement,↑,7.666584836242002,Percent=65plus,↑,0.8615713501123342,%=CQC Good,↑,0.6964345089902934
North East Lincolnshire,12.11843280375726,%=CQC RequiresImprovement,↓,-4.316773787343918,House=Price Growth %,↑,0.4302166241411173,%=CQC Outstanding,↓,-0.4271698966943997
North Hertfordshire,12.418985080687506,%=CQC RequiresImprovement,↑,4.37906551201887,House=Price Growth %,↓,-1.0646913671914455,%=CQC Good,↓,-0.6373371856145602
North Kesteven,13.396548264706958,%=CQC RequiresImprovement,↓,-2.652788486970164,House=Price Growth %,↑,1.3772293275127665,%=CQC Outstanding,↓,-0.5425623789925499
North Lincolnshire,13.49252684065376,%=CQC RequiresImprovement,↑,4.043838849442897,House=Price Growth %,↑,0.4700015239053404,%=CQC Outstanding,↓,-0.452643486244098
North Norfolk,19.17199109527391,%=CQC RequiresImprovement,↑,8.687456835342374,House=Price Growth %,↑,3.84410298665736,%=CQC Good,↑,1.8503800987596288
