LAD_code,Local_Authority,Total_Population,Percent_65plus,Care_Homes_Count,Care_Homes_per_10k,%_CQC_Outstanding,%_CQC_Good,%_CQC_RequiresImprovement,%_CQC_Inadequate,%_CQC_NotRated,GDHI_per_head_2022,House_Price_Growth_%,Investment_Potential_Score,High_Investment_Potential,Investment_Grade
E06000025,South Gloucestershire,299439.0,18.73,87.0,2.905433160009217,12.79,75.58,11.63,0.0,0,23233,0.41,-5.990235025998619,0,Avoid
E06000027,Torbay,139485.0,27.18,94.0,6.739075886296018,4.3,76.34,19.35,0.0,0,19990,9.5,2.685361382944404,0,Consider
E06000030,Swindon,238417.0,16.28,56.0,2.34882579681818,8.93,76.79,14.29,0.0,0,20370,13.17,-2.443676130477272,0,Avoid
E06000032,Luton,231028.0,11.64,41.0,1.774676662569039,4.88,56.1,39.02,0.0,0,17944,9.57,7.574301499385356,0,Consider
E06000033,Southend-on-Sea,182271.0,19.32,95.0,5.21201946552112,2.11,82.11,15.79,0.0,0,22919,7.54,-1.257347080171833,0,Avoid
E06000034,Thurrock,178201.0,13.64,29.0,1.6273758284184712,3.45,72.41,24.14,0.0,0,21329,-11.74,-4.149543625737231,0,Avoid
E06000035,Medway,286800.0,16.57,75.0,2.615062761506276,1.33,64.0,24.0,10.67,0,21277,-13.3,2.749309414225941,0,Consider
E06000036,Bracknell Forest,128351.0,15.75,17.0,1.324492991873846,11.76,47.06,41.18,0.0,0,24923,-7.58,6.099623948781076,0,Consider
E06000037,West Berkshire,163367.0,20.11,41.0,2.5096867788476254,2.44,87.8,9.76,0.0,0,28281,11.94,-2.586896983172858,0,Avoid
E06000038,Reading,178196.0,12.2,31.0,1.739657455835148,6.45,67.74,25.81,0.0,0,22779,15.25,3.1882986183752706,0,Consider
E06000039,Slough,160713.0,9.97,14.0,0.8711180800557515,0.0,64.29,35.71,0.0,0,19590,-10.01,0.9131677120083626,0,Consider
E06000040,Windsor and Maidenhead,155239.0,18.92,43.0,2.7699225065866178,16.28,58.14,25.58,0.0,0,34929,10.67,5.190338375987992,0,Consider
E06000041,Wokingham,183870.0,17.37,47.0,2.556153804318268,10.64,72.34,14.89,2.13,0,28641,0.12,-2.64992692935226,0,Avoid
E06000042,Milton Keynes,298270.0,14.15,51.0,1.709860193784155,3.92,80.39,11.76,3.92,0,22330,8.84,-2.568520970932377,0,Avoid
E06000043,Brighton and Hove,279637.0,14.23,98.0,3.5045433901808414,4.08,79.59,16.33,0.0,0,26461,-10.89,-6.668168491472875,0,Avoid
E06000044,Portsmouth,210297.0,15.0,35.0,1.6643128527748852,0.0,74.29,25.71,0.0,0,19388,-10.1,-2.7631530720837665,0,Avoid
E06000045,Southampton,256110.0,13.7,64.0,2.49892624263012,1.56,78.12,17.19,3.12,0,18758,2.44,-2.370461063605481,0,Avoid
E06000046,Isle of Wight,140906.0,29.84,68.0,4.82591231033455,2.94,92.65,1.47,2.94,0,20749,20.11,-1.294263153449819,0,Avoid
E06000047,County Durham,532182.0,21.7,153.0,2.874956311938397,7.24,82.24,9.21,1.32,0,17904,-29.23,-13.65965655320924,0,Avoid
E06000049,Cheshire East,412458.0,22.5,101.0,2.448734174146216,2.97,72.28,20.79,3.96,0,25982,18.44,7.1516101261219305,0,Consider
E06000050,Cheshire West and Chester,365061.0,21.61,78.0,2.1366292208699367,0.0,69.23,23.08,7.69,0,22376,-2.31,4.655894383130491,0,Consider
E06000051,Shropshire,329260.0,26.17,113.0,3.431938285853125,4.42,70.8,22.12,2.65,0,21441,16.24,6.809440742877968,0,Consider
E06000052,Cornwall,578324.0,25.77,221.0,3.821387319218984,2.73,75.0,18.64,3.64,0,21235,16.96,5.832958097882848,0,Consider
E06000053,Isles of Scilly,2229.0,27.14,1.0,4.486316733961417,0.0,0.0,100.0,0.0,0,24821,30.51,48.808597510094216,1,Good
E06000054,Wiltshire,517979.0,22.64,185.0,3.5715733649433665,1.62,78.38,20.0,0.0,0,24212,5.28,1.0835360047415057,0,Consider
E06000055,Bedford,189891.0,17.23,93.0,4.897546487195285,5.38,67.74,24.73,2.15,0,22414,-8.01,-0.1582680269207061,0,Avoid
E06000056,Central Bedfordshire,308302.0,18.14,62.0,2.011015173433841,4.84,69.35,20.97,4.84,0,23579,4.07,2.587002276015075,0,Consider
E06000057,Northumberland,327055.0,26.29,109.0,3.332772775221293,3.67,79.82,16.51,0.0,0,21359,4.61,-0.4632340837168076,0,Avoid
E06000058,"Bournemouth, Christchurch and Poole",404050.0,21.81,177.0,4.380645959658458,5.14,91.43,3.43,0.0,0,23108,3.57,-8.021703106051234,0,Avoid
E06000059,Dorset,384809.0,30.39,132.0,3.430273200470883,4.55,80.3,13.64,1.52,0,24156,7.25,1.0959409800706332,0,Consider
E06000060,Buckinghamshire,566694.0,19.06,131.0,2.311653202610227,4.58,62.6,29.77,3.05,0,30659,7.81,8.195097980391534,0,Consider
E06000061,North Northamptonshire,367991.0,18.37,126.0,3.423996782530008,4.76,73.81,18.25,3.17,0,20629,-26.7,-7.6365504826205,0,Avoid
E06000062,West Northamptonshire,434349.0,17.39,114.0,2.6246175310637296,10.71,57.14,30.36,1.79,0,22575,-18.25,-0.6090573703404409,0,Avoid
E07000008,Cambridge,149963.0,11.43,13.0,0.8668804971893067,0.0,92.31,0.0,7.69,0,23855,-23.07,-14.587717925421607,0,Avoid
E07000009,East Cambridgeshire,91466.0,21.11,22.0,2.4052653444995955,9.09,81.82,9.09,0.0,0,25083,6.25,-4.854760198325064,0,Avoid
E07000010,Fenland,103537.0,23.39,30.0,2.8975148980557672,3.33,83.33,13.33,0.0,0,19121,3.29,-3.493222765291636,0,Avoid
E07000011,Huntingdonshire,186066.0,20.52,31.0,1.6660754785936174,3.23,80.65,16.13,0.0,0,22317,3.36,-2.498538678210957,0,Avoid
E07000012,South Cambridgeshire,168541.0,19.78,33.0,1.957980550726529,15.15,84.85,0.0,0.0,0,29050,5.19,-9.71230291739102,0,Avoid
E07000032,Amber Valley,127709.0,23.04,44.0,3.4453327486708063,4.55,77.27,18.18,0.0,0,20715,16.5,2.4170499123006213,0,Consider
E07000033,Bolsover,82829.0,20.56,29.0,3.5011891970203672,0.0,89.66,10.34,0.0,0,17866,36.72,2.6950783795530526,0,Consider
E07000034,Chesterfield,104883.0,22.19,47.0,4.481183795276642,6.38,70.21,23.4,0.0,0,18333,18.13,4.948127569291497,0,Consider
E07000035,Derbyshire Dales,71530.0,29.09,20.0,2.796029637914162,5.0,90.0,5.0,0.0,0,26870,12.44,-2.8675955543128744,0,Avoid
E07000036,Erewash,113844.0,20.96,37.0,3.2500614876497664,0.0,70.27,29.73,0.0,0,19431,14.89,7.230659223147464,0,Consider
E07000037,High Peak,91569.0,22.61,26.0,2.8393888761480417,7.69,42.31,50.0,0.0,0,21573,13.96,17.496358331422208,1,Good
E07000038,North East Derbyshire,105035.0,24.83,27.0,2.570571714190508,0.0,66.67,33.33,0.0,0,20421,7.12,8.100235757128576,0,Consider
E07000039,South Derbyshire,114050.0,18.65,32.0,2.8057869355545817,3.12,84.38,12.5,0.0,0,21190,18.6,-0.9621319596668148,0,Avoid
