District,ROI (%),ROI_Group,2020,2021,2022,2023,2024
ROCHFORD,-8.96,Low ROI,512540.02,476633.49,507952.01,479963.5,466596.32
ROSSENDALE,42.51,Top ROI,227130.94,277222.74,291048.94,286123.98,323678.63
ROTHER,23.18,Top ROI,429668.88,509658.72,539475.86,552761.27,529276.62
ROTHERHAM,20.57,Mid ROI,207133.51,234522.68,256407.76,257362.06,249742.41
RUGBY,17.72,Mid ROI,372385.97,391887.42,679175.65,395446.48,438387.4
RUNNYMEDE,-26.49,Low ROI,1079393.62,1090007.4,1315042.76,1067085.59,793515.91
RUSHCLIFFE,3.24,Low ROI,433949.06,406513.65,442944.71,424268.67,447996.86
RUSHMOOR,10.55,Mid ROI,460349.82,512336.39,605131.32,637541.22,508924.12
RUTLAND,22.15,Mid ROI,425790.8,486443.0,515839.06,493000.35,520115.89
RYEDALE,24.52,Top ROI,361652.16,424798.87,389686.8,450332.17,
SALFORD,11.44,Mid ROI,361535.73,396323.53,471475.15,352369.27,402900.31
SANDWELL,17.45,Mid ROI,221197.08,260618.51,276846.38,282642.21,259786.55
SCARBOROUGH,12.21,Mid ROI,251969.69,273461.05,313174.85,282734.4,
SEDGEMOOR,22.85,Top ROI,313313.28,368541.47,449471.07,384911.39,
SEFTON,2.86,Low ROI,294461.3,274098.36,299934.99,324908.88,302878.01
SELBY,1.96,Low ROI,287940.66,303570.47,327472.39,293577.69,
SEVENOAKS,2.95,Low ROI,758213.15,726964.05,824694.78,762642.63,780544.09
SHEFFIELD,32.65,Top ROI,298405.09,456983.55,361813.64,343919.15,395847.66
SHROPSHIRE,16.29,Mid ROI,317758.56,355973.74,378927.68,369507.52,369533.65
SLOUGH,-10.01,Low ROI,831166.87,881124.53,1037682.59,1295423.43,747959.42
SOLIHULL,3.82,Low ROI,467323.48,511158.79,538490.98,513317.57,485185.77
SOMERSET,-17.68,Low ROI,506323.33,496717.48,452449.85,445594.62,416830.15
SOMERSET WEST AND TAUNTON,10.53,Mid ROI,381631.52,391995.84,484639.16,421809.46,
SOUTH CAMBRIDGESHIRE,5.24,Mid ROI,539959.28,674086.71,634204.02,634345.75,568247.29
SOUTH DERBYSHIRE,18.6,Mid ROI,268872.82,311496.7,319275.64,320601.47,318889.55
SOUTH GLOUCESTERSHIRE,0.59,Low ROI,490874.14,452497.71,521402.13,506160.48,493758.43
SOUTH HAMS,19.29,Mid ROI,458567.78,532857.24,569790.46,559544.48,547038.11
SOUTH HOLLAND,17.87,Mid ROI,232100.95,259566.58,281592.6,273531.67,273577.1
SOUTH KESTEVEN,0.54,Low ROI,343514.62,341927.7,356189.82,361693.29,345381.11
SOUTH LAKELAND,7.92,Mid ROI,382918.24,399004.15,475846.61,413264.19,
SOUTH NORFOLK,14.38,Mid ROI,340761.18,372249.01,409357.18,398406.52,389765.69
SOUTH NORTHAMPTONSHIRE,1.08,Low ROI,422124.21,426671.67,,,
SOUTH OXFORDSHIRE,-9.61,Low ROI,760419.82,860845.94,715278.83,754966.57,687376.34
SOUTH RIBBLE,4.44,Mid ROI,271518.9,255464.77,267537.41,332908.14,283586.9
SOUTH SOMERSET,17.76,Mid ROI,355577.27,401730.97,435178.7,418738.77,
SOUTH STAFFORDSHIRE,4.31,Low ROI,339388.17,384661.72,383478.89,347821.94,354029.67
SOUTH TYNESIDE,-41.64,Low ROI,381165.46,204217.73,215271.19,271839.63,222466.39
SOUTHAMPTON,2.34,Low ROI,440872.6,383415.9,429387.82,447360.06,451181.34
SOUTHEND-ON-SEA,7.69,Mid ROI,436709.86,469103.45,509074.2,501117.02,470308.77
SOUTHWARK,-48.55,Low ROI,3708218.78,2815551.35,2781324.06,2558241.53,1907708.9
SPELTHORNE,-25.13,Low ROI,841151.64,610259.02,742409.09,650482.0,629771.87
ST ALBANS,24.08,Top ROI,825674.56,932730.29,996326.11,972583.45,1024501.53
ST HELENS,30.26,Top ROI,287746.09,226291.81,257923.96,245038.51,374806.26
STAFFORD,14.77,Mid ROI,302886.14,363430.67,373781.07,372268.98,347630.52
STAFFORDSHIRE MOORLANDS,12.96,Mid ROI,255121.19,291125.31,463403.73,288208.87,288175.18
STEVENAGE,-1.13,Low ROI,593886.64,450728.4,592627.34,708697.97,587203.76
STOCKPORT,5.05,Mid ROI,393078.67,392610.13,427558.51,406843.86,412941.24
STOCKTON-ON-TEES,-1.47,Low ROI,239347.89,260360.79,247835.43,245841.35,235822.98
STOKE-ON-TRENT,3.89,Low ROI,243917.91,299132.84,207950.74,214592.27,253408.77
STRATFORD-ON-AVON,-4.72,Low ROI,536961.25,525525.38,535908.42,524940.39,511630.35
STROUD,13.77,Mid ROI,424683.43,458228.0,484240.82,504018.83,483149.24
SUNDERLAND,-31.85,Low ROI,304465.12,266928.26,244588.56,231425.67,207490.93
SURREY HEATH,-4.29,Low ROI,767689.53,665035.52,693114.44,706502.35,734787.87
SUTTON,3.33,Low ROI,718707.53,689318.82,796252.47,824714.64,742607.72
SWALE,-10.21,Low ROI,466039.12,442863.47,436007.36,468465.43,418470.45
SWANSEA,29.66,Top ROI,230518.08,320038.52,285459.83,282920.59,298882.79
SWINDON,13.31,Mid ROI,377782.22,378215.88,515298.56,434058.58,428060.12
TAMESIDE,26.81,Top ROI,227069.22,249520.24,263086.44,278049.64,287944.97
TAMWORTH,23.47,Top ROI,285379.65,301026.21,405677.77,315426.15,352366.14
TANDRIDGE,1.95,Low ROI,695512.67,718809.02,759460.05,758599.92,709093.9
TEIGNBRIDGE,10.86,Mid ROI,383472.79,408896.82,452354.41,449021.76,425114.09
TENDRING,0.36,Low ROI,333577.96,334025.61,379496.87,370405.33,334789.19
TEST VALLEY,17.38,Mid ROI,491746.16,596339.17,616277.75,597966.72,577234.09
TEWKESBURY,6.74,Mid ROI,439774.31,484631.82,610395.31,468736.5,469429.56
THANET,7.88,Mid ROI,357361.42,425661.48,447806.07,799364.21,385511.45
THE VALE OF GLAMORGAN,15.29,Mid ROI,350372.68,380804.94,426098.37,423990.85,403952.65
THREE RIVERS,15.6,Mid ROI,788306.95,864150.31,947643.82,880979.52,911271.87
THURROCK,-11.6,Low ROI,577948.27,502429.84,546165.05,609718.18,510920.63
TONBRIDGE AND MALLING,0.75,Low ROI,575966.26,707508.33,649690.01,604026.19,580268.1
TORBAY,9.56,Mid ROI,342040.49,354712.3,420107.32,400445.93,374740.91
TORFAEN,37.63,Top ROI,240065.14,271282.84,347086.42,306681.51,330394.52
TORRIDGE,15.19,Mid ROI,350769.81,370117.44,432519.1,383045.38,404048.82
TOWER HAMLETS,-41.57,Low ROI,13221231.26,8457332.17,2605741.61,4778428.77,7724949.27
TRAFFORD,-1.97,Low ROI,594284.05,528457.07,673097.14,635366.44,582577.91
